"Pin Information for the Stratix® V 5SGSD5 Device
 Version 1.1
7B	VREFB7BN0	IO			DIFFIO_TX_T14n	DIFFOUT_T14n	L6	DQ5T	DQ3T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T15p	DIFFOUT_T15p	M8	DQS5T	DQS3T/CQ3T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T15n	DIFFOUT_T15n	L8	DQSn5T	DQSn3T/DQ3T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T16p	DIFFOUT_T16p	K6	DQ6T	DQ3T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T16n	DIFFOUT_T16n	J6	DQ6T	DQ3T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T17p	DIFFOUT_T17p	J8	DQS6T	DQ3T/CQn3T	DQS2T/CQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T17n	DIFFOUT_T17n	H8	DQSn6T	DQ3T	DQSn2T/DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T18p	DIFFOUT_T18p	K7	DQ6T	DQ3T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T18n	DIFFOUT_T18n	J7	DQ6T	DQ3T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T19p	DIFFOUT_T19p	B7	DQ7T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T19n	DIFFOUT_T19n	A7	DQ7T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T20p	DIFFOUT_T20p	C6	DQ7T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T20n	DIFFOUT_T20n	C7	DQ7T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T21p	DIFFOUT_T21p	B8	DQS7T	DQS4T/CQ4T	DQ2T/CQn2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T21n	DIFFOUT_T21n	A8	DQSn7T	DQSn4T/DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T22p	DIFFOUT_T22p	A10	DQ8T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T22n	DIFFOUT_T22n	A11	DQ8T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T23p	DIFFOUT_T23p	C10	DQS8T	DQ4T/CQn4T	DQ2T	DQS1T/CQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T23n	DIFFOUT_T23n	B10	DQSn8T	DQ4T	DQ2T	DQSn1T/DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T24p	DIFFOUT_T24p	B11	DQ8T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T24n	DIFFOUT_T24n	C11	DQ8T	DQ4T	DQ2T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T25p	DIFFOUT_T25p	E7	DQ9T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T25n	DIFFOUT_T25n	E8	DQ9T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T26p	DIFFOUT_T26p	G7	DQ9T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T26n	DIFFOUT_T26n	G8	DQ9T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T27p	DIFFOUT_T27p	D9	DQS9T	DQS5T/CQ5T	DQ3T	DQ1T/CQn1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T27n	DIFFOUT_T27n	C9	DQSn9T	DQSn5T/DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T28p	DIFFOUT_T28p	F8	DQ10T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T28n	DIFFOUT_T28n	F9	DQ10T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T29p	DIFFOUT_T29p	E10	DQS10T	DQ5T/CQn5T	DQS3T/CQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T29n	DIFFOUT_T29n	E9	DQSn10T	DQ5T	DQSn3T/DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T30p	DIFFOUT_T30p	D10	DQ10T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T30n	DIFFOUT_T30n	E11	DQ10T	DQ5T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T31p	DIFFOUT_T31p	T9	DQ11T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T31n	DIFFOUT_T31n	R9	DQ11T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T32p	DIFFOUT_T32p	N10	DQ11T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T32n	DIFFOUT_T32n	P10	DQ11T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T33p	DIFFOUT_T33p	L10	DQS11T	DQS6T/CQ6T	DQ3T/CQn3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T33n	DIFFOUT_T33n	L9	DQSn11T	DQSn6T/DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T34p	DIFFOUT_T34p	K9	DQ12T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T34n	DIFFOUT_T34n	J9	DQ12T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T35p	DIFFOUT_T35p	J10	DQS12T	DQ6T/CQn6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_RX_T35n	DIFFOUT_T35n	H10	DQSn12T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T36p	DIFFOUT_T36p	G10	DQ12T	DQ6T	DQ3T	DQ1T									
7B	VREFB7BN0	IO			DIFFIO_TX_T36n	DIFFOUT_T36n	G9	DQ12T	DQ6T	DQ3T	DQ1T									
7C	VREFB7CN0	IO			DIFFIO_RX_T37p	DIFFOUT_T37p	C15	DQ13T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T37n	DIFFOUT_T37n	B14	DQ13T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T38p	DIFFOUT_T38p	A13	DQ13T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T38n	DIFFOUT_T38n	A14	DQ13T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T39p	DIFFOUT_T39p	C16	DQS13T	DQS7T/CQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T39n	DIFFOUT_T39n	B16	DQSn13T	DQSn7T/DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T40p	DIFFOUT_T40p	C13	DQ14T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T40n	DIFFOUT_T40n	B13	DQ14T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T41p	DIFFOUT_T41p	E16	DQS14T	DQ7T/CQn7T	DQS4T/CQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T41n	DIFFOUT_T41n	D16	DQSn14T	DQ7T	DQSn4T/DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T42p	DIFFOUT_T42p	E15	DQ14T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T42n	DIFFOUT_T42n	D15	DQ14T	DQ7T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T43p	DIFFOUT_T43p	E12	DQ15T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T43n	DIFFOUT_T43n	F12	DQ15T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T44p	DIFFOUT_T44p	D12	DQ15T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T44n	DIFFOUT_T44n	C12	DQ15T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T45p	DIFFOUT_T45p	G11	DQS15T	DQS8T/CQ8T	DQ4T/CQn4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T45n	DIFFOUT_T45n	F11	DQSn15T	DQSn8T/DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T46p	DIFFOUT_T46p	D13	DQ16T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T46n	DIFFOUT_T46n	E13	DQ16T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T47p	DIFFOUT_T47p	G15	DQS16T	DQ8T/CQn8T	DQ4T	DQS2T/CQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T47n	DIFFOUT_T47n	F15	DQSn16T	DQ8T	DQ4T	DQSn2T/DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T48p	DIFFOUT_T48p	F14	DQ16T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T48n	DIFFOUT_T48n	E14	DQ16T	DQ8T	DQ4T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T49p	DIFFOUT_T49p	M12	DQ17T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T49n	DIFFOUT_T49n	L11	DQ17T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T50p	DIFFOUT_T50p	N11	DQ17T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T50n	DIFFOUT_T50n	P11	DQ17T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T51p	DIFFOUT_T51p	N12	DQS17T	DQS9T/CQ9T	DQ5T	DQ2T/CQn2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T51n	DIFFOUT_T51n	N13	DQSn17T	DQSn9T/DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T52p	DIFFOUT_T52p	H11	DQ18T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T52n	DIFFOUT_T52n	G12	DQ18T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T53p	DIFFOUT_T53p	K12	DQS18T	DQ9T/CQn9T	DQS5T/CQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T53n	DIFFOUT_T53n	J12	DQSn18T	DQ9T	DQSn5T/DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T54p	DIFFOUT_T54p	L12	DQ18T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T54n	DIFFOUT_T54n	L13	DQ18T	DQ9T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T55p	DIFFOUT_T55p	H13	DQ19T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T55n	DIFFOUT_T55n	G13	DQ19T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T56p	DIFFOUT_T56p	H14	DQ19T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T56n	DIFFOUT_T56n	G14	DQ19T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T57p	DIFFOUT_T57p	J14	DQS19T	DQS10T/CQ10T	DQ5T/CQn5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T57n	DIFFOUT_T57n	J13	DQSn19T	DQSn10T/DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T58p	DIFFOUT_T58p	H16	DQ20T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T58n	DIFFOUT_T58n	G16	DQ20T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T59p	DIFFOUT_T59p	J15	DQS20T	DQ10T/CQn10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_RX_T59n	DIFFOUT_T59n	K15	DQSn20T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T60p	DIFFOUT_T60p	K14	DQ20T	DQ10T	DQ5T	DQ2T									
7C	VREFB7CN0	IO			DIFFIO_TX_T60n	DIFFOUT_T60n	K13	DQ20T	DQ10T	DQ5T	DQ2T									
7D	VREFB7DN0	IO			DIFFIO_RX_T61p	DIFFOUT_T61p	A16	DQ21T	DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_RX_T61n	DIFFOUT_T61n	A17	DQ21T	DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T62p	DIFFOUT_T62p	C17	DQ21T	DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T62n	DIFFOUT_T62n	B17	DQ21T	DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_RX_T63p	DIFFOUT_T63p	D18	DQS21T	DQS11T/CQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_RX_T63n	DIFFOUT_T63n	E19	DQSn21T	DQSn11T/DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T64p	DIFFOUT_T64p	B19	DQ22T	DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T64n	DIFFOUT_T64n	A19	DQ22T	DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_RX_T65p	DIFFOUT_T65p	D19	DQS22T	DQ11T/CQn11T	DQS6T/CQ6T										
7D	VREFB7DN0	IO			DIFFIO_RX_T65n	DIFFOUT_T65n	C19	DQSn22T	DQ11T	DQSn6T/DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T66p	DIFFOUT_T66p	B20	DQ22T	DQ11T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T66n	DIFFOUT_T66n	A20	DQ22T	DQ11T	DQ6T										
7D	VREFB7DN0	IO	CLK19p		DIFFIO_RX_T67p	DIFFOUT_T67p	J19	DQ23T	DQ12T	DQ6T										
7D	VREFB7DN0	IO	CLK19n		DIFFIO_RX_T67n	DIFFOUT_T67n	J18	DQ23T	DQ12T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T68p	DIFFOUT_T68p	J16	DQ23T	DQ12T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T68n	DIFFOUT_T68n	K16	DQ23T	DQ12T	DQ6T										
7D	VREFB7DN0	IO	CLK18p		DIFFIO_RX_T69p	DIFFOUT_T69p	H19	DQS23T	DQS12T/CQ12T	DQ6T/CQn6T										
7D	VREFB7DN0	IO	CLK18n		DIFFIO_RX_T69n	DIFFOUT_T69n	G19	DQSn23T	DQSn12T/DQ12T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T70p	DIFFOUT_T70p	H17	DQ24T	DQ12T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_TX_T70n	DIFFOUT_T70n	G17	DQ24T	DQ12T	DQ6T										
7D	VREFB7DN0	IO	"FPLL_TC_CLKOUT2,FPLL_TC_FBp,FPLL_TC_FB1"		DIFFIO_RX_T71p	DIFFOUT_T71p	E17	DQS24T	DQ12T/CQn12T	DQ6T										
7D	VREFB7DN0	IO	"FPLL_TC_CLKOUT3,FPLL_TC_FBn"		DIFFIO_RX_T71n	DIFFOUT_T71n	F17	DQSn24T	DQ12T	DQ6T										
7D	VREFB7DN0	IO	"FPLL_TC_CLKOUT0,FPLL_TC_CLKOUTp,FPLL_TC_FB0"		DIFFIO_TX_T72p	DIFFOUT_T72p	F18	DQ24T	DQ12T	DQ6T										
7D	VREFB7DN0	IO	"FPLL_TC_CLKOUT1,FPLL_TC_CLKOUTn"		DIFFIO_TX_T72n	DIFFOUT_T72n	E18	DQ24T	DQ12T	DQ6T										
7D	VREFB7DN0	IO			DIFFIO_RX_T73p	DIFFOUT_T73p	J21	DQ25T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_RX_T73n	DIFFOUT_T73n	J22	DQ25T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_TX_T74p	DIFFOUT_T74p	K21	DQ25T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_TX_T74n	DIFFOUT_T74n	J20	DQ25T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_RX_T75p	DIFFOUT_T75p	G21	DQS25T	DQS13T/CQ13T											
7D	VREFB7DN0	IO			DIFFIO_RX_T75n	DIFFOUT_T75n	F21	DQSn25T	DQSn13T/DQ13T											
7D	VREFB7DN0	IO			DIFFIO_TX_T76p	DIFFOUT_T76p	H20	DQ26T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_TX_T76n	DIFFOUT_T76n	G20	DQ26T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_RX_T77p	DIFFOUT_T77p	E21	DQS26T	DQ13T/CQn13T											
7D	VREFB7DN0	IO			DIFFIO_RX_T77n	DIFFOUT_T77n	D21	DQSn26T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_TX_T78p	DIFFOUT_T78p	F20	DQ26T	DQ13T											
7D	VREFB7DN0	IO			DIFFIO_TX_T78n	DIFFOUT_T78n	E20	DQ26T	DQ13T											
8D	VREFB8DN0	IO	CLK17p		DIFFIO_RX_T133p	DIFFOUT_T133p	A21	DQ45T	DQ14T	DQ7T										
8D	VREFB8DN0	IO	CLK17n		DIFFIO_RX_T133n	DIFFOUT_T133n	A22	DQ45T	DQ14T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T134p	DIFFOUT_T134p	C21	DQ45T	DQ14T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T134n	DIFFOUT_T134n	B22	DQ45T	DQ14T	DQ7T										
8D	VREFB8DN0	IO	CLK16p		DIFFIO_RX_T135p	DIFFOUT_T135p	B23	DQS45T	DQS14T/CQ14T	DQ7T										
8D	VREFB8DN0	IO	CLK16n		DIFFIO_RX_T135n	DIFFOUT_T135n	A23	DQSn45T	DQSn14T/DQ14T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T136p	DIFFOUT_T136p	E24	DQ46T	DQ14T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T136n	DIFFOUT_T136n	E23	DQ46T	DQ14T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T137p	DIFFOUT_T137p	D22	DQS46T	DQ14T/CQn14T	DQS7T/CQ7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T137n	DIFFOUT_T137n	C22	DQSn46T	DQ14T	DQSn7T/DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T138p	DIFFOUT_T138p	C23	DQ46T	DQ14T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T138n	DIFFOUT_T138n	D24	DQ46T	DQ14T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T139p	DIFFOUT_T139p	M24	DQ47T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T139n	DIFFOUT_T139n	M23	DQ47T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T140p	DIFFOUT_T140p	M22	DQ47T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T140n	DIFFOUT_T140n	L22	DQ47T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T141p	DIFFOUT_T141p	L23	DQS47T	DQS15T/CQ15T	DQ7T/CQn7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T141n	DIFFOUT_T141n	K22	DQSn47T	DQSn15T/DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T142p	DIFFOUT_T142p	H22	DQ48T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T142n	DIFFOUT_T142n	G22	DQ48T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T143p	DIFFOUT_T143p	F23	DQS48T	DQ15T/CQn15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_RX_T143n	DIFFOUT_T143n	E22	DQSn48T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T144p	DIFFOUT_T144p	H23	DQ48T	DQ15T	DQ7T										
8D	VREFB8DN0	IO			DIFFIO_TX_T144n	DIFFOUT_T144n	G23	DQ48T	DQ15T	DQ7T										
8C	VREFB8CN0	IO			DIFFIO_RX_T145p	DIFFOUT_T145p	A26	DQ49T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T145n	DIFFOUT_T145n	A25	DQ49T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T146p	DIFFOUT_T146p	C25	DQ49T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T146n	DIFFOUT_T146n	B25	DQ49T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T147p	DIFFOUT_T147p	B26	DQS49T	DQS16T/CQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T147n	DIFFOUT_T147n	C27	DQSn49T	DQSn16T/DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T148p	DIFFOUT_T148p	B28	DQ50T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T148n	DIFFOUT_T148n	A28	DQ50T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T149p	DIFFOUT_T149p	E27	DQS50T	DQ16T/CQn16T	DQS8T/CQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T149n	DIFFOUT_T149n	D27	DQSn50T	DQ16T	DQSn8T/DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T150p	DIFFOUT_T150p	C28	DQ50T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T150n	DIFFOUT_T150n	D28	DQ50T	DQ16T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T151p	DIFFOUT_T151p	L24	DQ51T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T151n	DIFFOUT_T151n	K24	DQ51T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T152p	DIFFOUT_T152p	K25	DQ51T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T152n	DIFFOUT_T152n	J24	DQ51T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T153p	DIFFOUT_T153p	J25	DQS51T	DQS17T/CQ17T	DQ8T/CQn8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T153n	DIFFOUT_T153n	J26	DQSn51T	DQSn17T/DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T154p	DIFFOUT_T154p	L25	DQ52T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T154n	DIFFOUT_T154n	L26	DQ52T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T155p	DIFFOUT_T155p	P25	DQS52T	DQ17T/CQn17T	DQ8T	DQS3T/CQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T155n	DIFFOUT_T155n	P26	DQSn52T	DQ17T	DQ8T	DQSn3T/DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T156p	DIFFOUT_T156p	N26	DQ52T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T156n	DIFFOUT_T156n	M26	DQ52T	DQ17T	DQ8T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T157p	DIFFOUT_T157p	K27	DQ53T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T157n	DIFFOUT_T157n	J27	DQ53T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T158p	DIFFOUT_T158p	H25	DQ53T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T158n	DIFFOUT_T158n	G25	DQ53T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T159p	DIFFOUT_T159p	G26	DQS53T	DQS18T/CQ18T	DQ9T	DQ3T/CQn3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T159n	DIFFOUT_T159n	G27	DQSn53T	DQSn18T/DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T160p	DIFFOUT_T160p	L27	DQ54T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T160n	DIFFOUT_T160n	M27	DQ54T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T161p	DIFFOUT_T161p	K28	DQS54T	DQ18T/CQn18T	DQS9T/CQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T161n	DIFFOUT_T161n	J28	DQSn54T	DQ18T	DQSn9T/DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T162p	DIFFOUT_T162p	L28	DQ54T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T162n	DIFFOUT_T162n	L29	DQ54T	DQ18T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T163p	DIFFOUT_T163p	G24	DQ55T	DQ19T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T163n	DIFFOUT_T163n	F24	DQ55T	DQ19T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T164p	DIFFOUT_T164p	F26	DQ55T	DQ19T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T164n	DIFFOUT_T164n	E26	DQ55T	DQ19T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T165p	DIFFOUT_T165p	E25	DQS55T	DQS19T/CQ19T	DQ9T/CQn9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_RX_T165n	DIFFOUT_T165n	D25	DQSn55T	DQSn19T/DQ19T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T166p	DIFFOUT_T166p	H28	DQ56T	DQ19T	DQ9T	DQ3T									
8C	VREFB8CN0	IO			DIFFIO_TX_T166n	DIFFOUT_T166n	G28	DQ56T	DQ19T	DQ9T	DQ3T									
